"Ingr","Match","Score"
"cheese icing","cheese, processed cheese food",0.577350269189626
"from 3 large limes","hamburger, from fast food, 1 large patty",0.377964473009227
"tri tip","lamb chop, ns as to cut, cooked, lean only eaten",0
"rice-shaped pasta","flavored rice and pasta mixture",0.516397779494322
"hanger steak","steak sauce",0.5
"lychee juice","lychee",0.707106781186547
"italian eggplants","italian ice",0.5
"pork mousse pate","mousse",0.577350269189626
"oil-cured moroccan olives","olives, stuffed",0.353553390593274
"roasted macadamia nuts","macadamia nuts",0.816496580927726
"sausage roll","pickled sausage",0.5
"purevanilla extract","yeast extract spread",0.408248290463863
"hero rolls","pizza rolls",0.5
"tamarind syrup","tamarind",0.707106781186547
"frissee","lamb chop, ns as to cut, cooked, lean only eaten",0
"grand caramel delight","100 grand bar",0.333333333333333
"buttermilk blue cheese","cheese, blue or roquefort",0.577350269189626
"poundsrusset potatoes","stewed potatoes",0.5
"sanding sugar","sugar substitute and sugar blend",0.534522483824849
"matcha powder","nutritional powder mix (eas whey protein powder)",0.471404520791032
"silverskin","lamb chop, ns as to cut, cooked, lean only eaten",0
"cashew milk","milk, human",0.5
"thai jasmine rice","rice croquette",0.408248290463863
"orange or lemon juice","lemon juice, 100%, canned or bottled",0.612372435695795
"southwest chipotle seasoning","chipotle dip, regular",0.333333333333333
"""confectioners powdered sugar""","doughnut, cake type, powdered sugar",0.516397779494322
"macaroni and cheese dinner","beef and macaroni with cheese sauce",0.612372435695795
"home-style egg","meatball soup, home recipe, mexican style",0.471404520791032
"rotini","lamb chop, ns as to cut, cooked, lean only eaten",0
"plain panko breadcrumbs","dumpling, plain",0.408248290463863
"carbonated water","carbonated water, sweetened",0.816496580927726
"essence","lamb chop, ns as to cut, cooked, lean only eaten",0
"cream of chicken soup","soup, cream of, nfs",0.75
"moroccan spice mix","snack mix, plain (chex mix)",0.436435780471985
"kasha","lamb chop, ns as to cut, cooked, lean only eaten",0
"veal fillets","veal scallopini",0.5
"citronette dressing","sesame dressing",0.5
"beef chuck roast","roast beef sandwich",0.666666666666667
"nicoise olives","olives, stuffed",0.5
"tomatillo-horseradish sauce","horseradish sauce",0.816496580927726
"gala or honeycrisp apples","cabbage salad or coleslaw with apples and/or raisins, with dressing",0.387298334620742
"baileys original irish cream","cream, light",0.353553390593274
"vitamin c powder","cranberry juice drink, with high vitamin c",0.436435780471985
"rum raisin ice cream","ice cream, nfs",0.577350269189626
"pasilla chile powder","nutritional powder mix (eas whey protein powder)",0.384900179459751
"parchment","lamb chop, ns as to cut, cooked, lean only eaten",0
"garlic and butter croutons","peanut butter and jelly",0.5
"jelly","jelly sandwich, regular jelly, nfs",0.755928946018454
"orechiette pasta","flavored pasta",0.5
"warm farro salad","seafood salad",0.408248290463863
"benedictine liqueur","cordial or liqueur",0.408248290463863
"russet potato","gnocchi, potato",0.5
"plate garnish","lamb chop, ns as to cut, cooked, lean only eaten",0
"lotus leaves","taro leaves, cooked",0.408248290463863
"dry-active yeast","yeast",0.577350269189626
"whole-grain dinner rolls","muffin, whole grain",0.577350269189626
"chuck/stew beef","beef stew, baby food, toddler",0.516397779494322
"stewing meat","meat, nfs",0.5
"seasoned rice vinegar","vinegar",0.577350269189626
"sunflower seed butter","butter, nfs",0.408248290463863
"spiral ham","ham, prosciutto",0.5
"chessman cookies","cookies, puerto rican style",0.353553390593274
"dry massala spice mix","potato, scalloped, from dry mix",0.447213595499958
"spinach-and-cheese ravioli","ravioli, cheese and spinach-filled, no sauce",0.755928946018454
"turkey giblets","turkey, nfs",0.5
"creamy caesar dressing","caesar dressing",0.816496580927726
"pillsbury® refrigerated crescent dinner rolls","pizza rolls",0.316227766016838
"amber","lamb chop, ns as to cut, cooked, lean only eaten",0
"long-grain rice","rice croquette",0.408248290463863
"sicilian oil-cured","flaxseed oil",0.408248290463863
"round country bread","bread, zucchini",0.408248290463863
"sourdough breadcrumbs","lamb chop, ns as to cut, cooked, lean only eaten",0
"fine salt","salt pork, cooked",0.408248290463863
"cabbage sauerkraut","sauerkraut",0.707106781186547
"cream of asparagus soup","asparagus soup, cream of, prepared with water",0.755928946018454
"smoked tomato vinaigrette","salmon, smoked",0.408248290463863
"cooked ham","ham, fresh, cooked, lean only eaten",0.577350269189626
"bourbon","lamb chop, ns as to cut, cooked, lean only eaten",0
"sprig dried thyme","papaya, dried",0.408248290463863
"bloody marys","bloody mary",0.5
"italian herb seasoning","italian ice",0.408248290463863
"whole snap peas","wasabi peas",0.408248290463863
"spinach fettuccine","spinach soup",0.5
"premier white morsels","icing, white",0.408248290463863
"creole spice blend","cheese, mexican blend",0.333333333333333
"blueberry vodka","vodka",0.707106781186547
"vanilla fudge sandwich cookies","fudge, vanilla",0.707106781186547
"wild king salmon","salmon, smoked",0.408248290463863
"bistro sauce","beef and potatoes with cream sauce, white sauce or mushroom sauce",0.514495755427526
"tuaca liqueur","cordial or liqueur",0.408248290463863
"julienned snap peas","wasabi peas",0.408248290463863
"chocolate fudge","fudge, chocolate",1
"curry seasoning","lentil curry",0.5
"raspberry topping","topping, marshmallow",0.5
"wide rice noodles","rice noodles, cooked",0.666666666666667
"jalapeno chili","nachos with chili",0.408248290463863
"ipa","lamb chop, ns as to cut, cooked, lean only eaten",0
"sand dab","lamb chop, ns as to cut, cooked, lean only eaten",0
"heavy pot","cream, heavy",0.5
"from the drippings","lentils, from canned",0.333333333333333
"barolo","lamb chop, ns as to cut, cooked, lean only eaten",0
"apple-smoked bacon","pork bacon, smoked or cured, cooked",0.471404520791032
"ice cube","italian ice",0.5
"raw peanuts","leek, raw",0.5
"whole wheat couscous","muffin, whole wheat",0.666666666666667
"tomato","tomato aspic",0.707106781186547
"sandwich/sub rolls","pork sandwich",0.408248290463863
"beerbit sauce","beef and potatoes with cream sauce, white sauce or mushroom sauce",0.514495755427526
"asian egg noodles","beef and egg noodles, baby food, strained",0.436435780471985
"firm baking apples","apples, baby food, toddler",0.288675134594813
"caramel bananas","caramel dip, regular",0.408248290463863
"spicy pasta sauce","pasta with sauce, nfs",0.577350269189626
"california avocado","avocado dressing",0.5
"rum","rum",1
"veggie chili","nachos with chili",0.408248290463863
"turkey pepperoni","turkey, nfs",0.5
"shiso leaves","taro leaves, cooked",0.408248290463863
"from pickled okra","okra, pickled",0.816496580927726
"tuna packed in olive oil","olive oil",0.632455532033676
"raspberry vodka","vodka",0.707106781186547
"townhouse flip-sides","lamb chop, ns as to cut, cooked, lean only eaten",0
"yucca root","ginger root, pickled",0.408248290463863
"white country bread","bread, white",0.816496580927726
"sunchokes","lamb chop, ns as to cut, cooked, lean only eaten",0
"tic tacs","lamb chop, ns as to cut, cooked, lean only eaten",0
"maldon salt","salt pork, cooked",0.408248290463863
"gel paste","guava paste",0.5
"usukuchi soy sauce","soy sauce",0.816496580927726
"one part chai tea concentrate","tea, hot, chai, with milk",0.4
"peanut praline","peanut brittle",0.5
"kitchen string","yellow string beans, cooked",0.353553390593274
"cornishon","lamb chop, ns as to cut, cooked, lean only eaten",0
"made from my recipe","cornbread, made from home recipe",0.670820393249937
"banana-nut muffins","cereal (general mills cheerios banana nut)",0.471404520791032
"recipe filling","cherry pie filling",0.408248290463863
"buttermilk-chive dressing","sesame dressing",0.408248290463863
"thyme leaf","tea, hot, leaf, oolong",0.353553390593274
"beef tenderloin tips","beef goulash",0.408248290463863
"chicken drumettes","chicken, chicken roll, roasted",0.577350269189626
"chipotle cream","cream, light",0.5
"puffed pastry","pastry, puff",0.5
"bake off biscuits","cookie, rum ball, no bake",0.258198889747161
"japanese soy sauce","soy sauce",0.816496580927726
"kirsch liqueur","cordial or liqueur",0.408248290463863
"bbq cocktail sauce","cocktail sauce",0.816496580927726
"loaf white rustic bread","bread, white",0.707106781186547
"texas toast","anisette toast",0.5
"italian blend shredded cheese","cheese, mexican blend",0.577350269189626
"macintosh apple","crisp, apple, apple dessert",0.577350269189626
"dollop of sour cream","sour cream, regular",0.577350269189626
"bakery bread","bread, zucchini",0.5
"canned vegetable aisle","vegetable beef soup, canned, prepared with milk",0.436435780471985
"from above stew","oyster stew",0.408248290463863
"swiss and american cheese","cheese, american and swiss blends",0.894427190999916
"tropical infused absolut vodka","vodka",0.5
"tart cherry preserves","pie, cherry, individual size or tart",0.471404520791032
"tia maria","lamb chop, ns as to cut, cooked, lean only eaten",0
"cucumber-infused gin","gin",0.577350269189626
"chilli powder","nutritional powder mix (eas whey protein powder)",0.471404520791032
"verjuice vinaigrette","tortellini, cheese-filled, meatless, with vinaigrette dressing",0.267261241912424
"sour cherry preserve","crisp, cherry",0.408248290463863
"buttermilk powder","buttermilk, whole",0.5
"tuna packed in water","sardines, skinless, boneless, packed in water",0.612372435695795
"brown rice cakes","beans and brown rice",0.577350269189626
"nonstick baking spray","egg, whole, fried with cooking spray",0.235702260395516
"regular endive","mayonnaise, regular",0.5
"szechuan seasoning","szechuan beef",0.5
"onion soup mix","onion soup, made from dry mix",0.707106781186548
"carnaroli rice","rice croquette",0.5
"from 1 whole small pumpkin","cheeseburger, from fast food, 1 small patty",0.50709255283711
"grey goose","goose, wild, roasted",0.408248290463863
"peanut butter chips","peanut butter",0.816496580927726
"manicotti pasta tubes","flavored pasta",0.408248290463863
"candy cane pieces","candy, nfs",0.408248290463863
"corn starch","corn, raw",0.5
"pork spare ribs","pork sandwich",0.408248290463863
"bowls","lamb chop, ns as to cut, cooked, lean only eaten",0
"phyllo triangles","lamb chop, ns as to cut, cooked, lean only eaten",0
"bacon","bacon bits",0.707106781186547
"mirin rice wine","wine, rice",0.816496580927726
"frozen puff pastry sheets","pastry, puff",0.707106781186547
"tahini sesame paste","tahini",0.577350269189626
"licorice whip","licorice",0.707106781186547
"cheese pumpkin","cheese, processed cheese food",0.577350269189626
"godiva cappuccino liqueur","coffee, cappuccino",0.408248290463863
"pastel sanding sugars","lamb chop, ns as to cut, cooked, lean only eaten",0
"chocolate truffle meatballs","fudge, chocolate, chocolate-coated",0.471404520791032
"food color paste","guava paste",0.408248290463863
"mcintosh or macoun apples","cabbage salad or coleslaw with apples and/or raisins, with dressing",0.387298334620742
"saffron yellow rice","yellow rice, cooked, fat added",0.516397779494322
"a combination","seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon",0.294883912309794
"asadero","queso asadero",0.707106781186547
"whole-wheat tortillas","muffin, whole wheat",0.666666666666667
"cooking wine","wine, light",0.5
"turkey breakfast sausage","turkey or chicken sausage",0.577350269189626
"corn nibblets","corn, raw",0.5
"whole-wheat croutons","muffin, whole wheat",0.666666666666667
"thai pepper powder","pepper steak",0.408248290463863
"mudslide drink","energy drink",0.5
"hot cherry peppers","hot peppers, cooked",0.666666666666667
"baked thin-crust pizza shell","white pizza, cheese, thin crust",0.6
"decaf chocolate hazelnut tea bags","topping, chocolate flavored hazelnut spread",0.4
"ginger cider","apple cider",0.5
"polish kielbasa sausage link","polish sausage",0.707106781186547
"daikon radishes","daikon radish, cooked",0.408248290463863
"peanut butter cup candies","peanut butter",0.707106781186547
"english hothouse cucumber","cucumber, cooked",0.408248290463863
"potato cakes","gnocchi, potato",0.5
"loaf country style bread","bread, lard, puerto rican style",0.447213595499958
"cocoa-sugar dusting","sugar substitute and sugar blend",0.436435780471985
"marjoram","lamb chop, ns as to cut, cooked, lean only eaten",0
"complete pancake mix","snack mix, plain (chex mix)",0.436435780471985
"crispy capers","cereal, crispy rice",0.408248290463863
"halloween sprinkles","chocolate-flavored sprinkles",0.408248290463863
"classic bbq rub","classic mixed vegetables, cooked, from restaurant",0.235702260395516
"from about 2 ears of corn","corn, cooked, from restaurant",0.408248290463863
"granulated garlic powder","garlic, cooked",0.408248290463863
"4-rib beef rib roast","roast beef sandwich",0.436435780471985
"refrigerated flaky dough sheet","biscuit, from refrigerated dough",0.5
"swanson® chicken broth","mexican style chicken broth soup stock",0.471404520791032
"vanilla sponge cake","cake, sponge, chocolate",0.666666666666667
"jams","lamb chop, ns as to cut, cooked, lean only eaten",0
"orange pork roast tacos","stuffed pork roast, puerto rican style",0.408248290463863
"fried corn tortillas","corn pone, fried",0.666666666666667
"polska kielbasa","lamb chop, ns as to cut, cooked, lean only eaten",0
"rosemary simple syrup","simple syrup",0.816496580927726
"moroccan spice rub","danish pastry, plain or spice",0.258198889747161
"spring mix","snack mix, plain (chex mix)",0.534522483824849
"snicker bars","twix caramel cookie bars",0.353553390593274
"for the panna cotta","gravy, for use with vegetables",0.223606797749979
"spicy ponzu","lamb chop, ns as to cut, cooked, lean only eaten",0
"haddock fillets","haddock, smoked",0.5
"sugar","sugar substitute and sugar blend",0.755928946018454
"cream frosting","cream, light",0.5
"sea scallops","scallops, coated, fried",0.408248290463863
"chocolate sandwiches","fudge, chocolate, chocolate-coated",0.577350269189626
"birds-eye chiles","chiles rellenos, cheese-filled",0.288675134594813
"cabbage and carrot mix","trail mix with nuts and fruit",0.408248290463863
"water","water, bottled, flavored (propel water)",0.755928946018454
"celery rib","celery, raw",0.5
"cranberry orange glaze","orange blossom",0.408248290463863
"cumin powder","nutritional powder mix (eas whey protein powder)",0.471404520791032
"egg tagliatelle","egg, benedict",0.5
"orange butter","butter, nfs",0.5
"limo pepper","pepper steak",0.5
"newburg sauce","beef and potatoes with cream sauce, white sauce or mushroom sauce",0.514495755427526
"marshmallow ghosts","marshmallow",0.707106781186547
"bbq butter","butter, nfs",0.5
"pie rounds","pie, apple, fried pie",0.577350269189626
"hickory","lamb chop, ns as to cut, cooked, lean only eaten",0
"tostadas","lamb chop, ns as to cut, cooked, lean only eaten",0
"meatloaf gravy","gravy, nfs",0.5
"bacon lardons","bacon bits",0.5
"red berries cereal","cereal (kellogg's special k red berries)",0.654653670707977
"ipa beer","beer",0.707106781186547
"mini party franks","beans and franks",0.333333333333333
"from about 1/2 pineapple","cheeseburger, from fast food, 1 small patty",0.338061701891407
"butter flavored shortening","crackers, butter, flavored",0.666666666666667
"whole-wheat crackers and cheese sticks","crackers, cheese, whole grain",0.612372435695795
"california walnuts","sushi roll, california",0.408248290463863
"oiling the grill grates","lamb chop, ns as to cut, cooked, lean only eaten",0
"pork stock","pork sandwich",0.5
"ginger gelato","gelato, vanilla",0.5
"chihuhua cheese","cheese, processed cheese food",0.577350269189626
"veal stew meat","vegetable stew without meat",0.577350269189626
"pineapple-coconut juice","pineapple juice, 100%",0.666666666666667
"redfish","lamb chop, ns as to cut, cooked, lean only eaten",0
"farm house","pie, toll house chocolate chip",0.316227766016838
"canned cherry pie filling","cherry pie filling",0.866025403784439
"chinese plain or somen noodles","macaroni or noodles with cheese and chicken or turkey",0.404519917477945
"steak","steak sauce",0.707106781186547
"chanterelle mushrooms","fried mushrooms",0.5
"other quality caviar","chicken ""wings"" with other sauces or seasoning, from other sources",0.333333333333333
"pork baby back ribs","chicken, back",0.353553390593274
"frog legs","frog legs, steamed",0.816496580927726
"virginia baked ham","apple, baked",0.408248290463863
"israeli salad","seafood salad",0.5
"tuscan black cabbage","bread, black",0.408248290463863
"microwave brownie batter","popcorn, microwave, nfs",0.333333333333333
"steak sauce","steak sauce",1
"regular sour cream","sour cream, regular",1
"mediterranean spice blend","cheese, mexican blend",0.333333333333333
"from 1 medium size orange","hamburger, from fast food, 1 medium patty",0.50709255283711
"corn cobs","corn, raw",0.5
"french bread cubes","bread, french or vienna",0.577350269189626
"striper fillets","lamb chop, ns as to cut, cooked, lean only eaten",0
"hibiscus tea","tea, hot, hibiscus",0.816496580927726
"pretzel crisp","crisp, cherry",0.5
"carambola","lamb chop, ns as to cut, cooked, lean only eaten",0
"soft flour tortilla","tortilla, flour",0.816496580927726
"achiote","lamb chop, ns as to cut, cooked, lean only eaten",0
"southeast asian fish sauce","fish sauce",0.707106781186547
"top sirloin roast","roast beef sandwich",0.333333333333333
"emmentaller cheese","cheese, processed cheese food",0.577350269189626
"bongo java mocha syrup","blueberry syrup",0.353553390593274
"hormel® pepperoni minis","pepperoni, nfs",0.408248290463863
"black tea","tea, iced, bottled, black",0.707106781186547
"bacon slices","bacon bits",0.5
"tamarind pulp","tamarind",0.707106781186547
"pie crust sheet","pie, apple, two crust",0.577350269189626
"raw broccoli florets","broccoli, raw",0.816496580927726
"classic pound cake","cake, pound, chocolate",0.666666666666667
"sugared pecans","sugared pecans, sugar and egg white coating",0.534522483824849
"romaine and leaf lettuce","romaine lettuce, raw",0.577350269189626
"pippin apples","apples, baby food, toddler",0.353553390593274
"cherry heirloom tomatoes","crisp, cherry",0.408248290463863
"moet & chandon","lamb chop, ns as to cut, cooked, lean only eaten",0
"perfect chocolate truffles","truffles",0.577350269189626
"lamb loin","lamb, loin chop, cooked, lean only eaten",0.534522483824849
"split top hot dog roll","roll, multigrain, hot dog bun",0.6
"cynar liqueur","cordial or liqueur",0.408248290463863
"canola-olive oil blend","canola oil",0.707106781186547
"aromatic herbs","lamb chop, ns as to cut, cooked, lean only eaten",0
"arugula salsa verde","salsa verde or salsa, green",0.654653670707977
"tangy corn relish","relish, corn",0.816496580927726
"navel orange segments","orange blossom",0.408248290463863
"from 2 tomatoes","double hamburger, from fast food, 2 small patties",0.408248290463863
"belgian wheat beer","beer",0.577350269189626
"colby-monterey jack cheese","cheese, colby jack",0.866025403784439
"carrot reduction","muffin, carrot",0.5
"whole wheat english muffins","muffin, english, whole wheat",0.75
"emmentaler","lamb chop, ns as to cut, cooked, lean only eaten",0
"apples","apples, baby food, toddler",0.5
"kettle chips","multigrain chips (sun chips)",0.577350269189626
"ginger snaps","ginger root, pickled",0.408248290463863
"ocean spray","ocean perch, raw",0.408248290463863
"spoonable ice cream","ice cream, nfs",0.666666666666667
"nacho cheese","tortilla chips, nacho cheese flavor (doritos)",0.577350269189626
"stale white bread cubes","bread, white",0.707106781186547
"indian flatbread","naan, indian flatbread",0.816496580927726
"black bean blend","black bean salad",0.666666666666667
"part-skim mozzarella cheese","cheese, mozzarella, part skim",1
"hoagie roll","roll, white, hoagie, submarine",0.707106781186547
"yolk","egg, yolk only, raw",0.5
"lemon butter sauce","lemon-butter sauce",1
"peels and juice","tomato and vegetable juice, 100%",0.516397779494322
"cassis liqueur","cordial or liqueur",0.408248290463863
"vidalia or","cake or cupcake, chocolate, devil's food or fudge, with icing or filling",0.486664263392288
"""rajun cajun onion rings""","fried onion rings",0.577350269189626
"gherkins","lamb chop, ns as to cut, cooked, lean only eaten",0
"from about 3 lemons","lentils, from canned",0.288675134594813
"vanilla nonfat yogurt","frozen yogurt, vanilla",0.666666666666667
"chocolate cake crumbs","cake, pound, chocolate",0.666666666666667
"guava barbeque sauce","beef and potatoes with cream sauce, white sauce or mushroom sauce",0.420084025208403
"chicken bouillon cube","chicken, chicken roll, roasted",0.471404520791032
"mango puree","mango nectar",0.5
"carpano antica","lamb chop, ns as to cut, cooked, lean only eaten",0
"from freshly toasted seeds","mixed seeds",0.353553390593274
"zuchinni","lamb chop, ns as to cut, cooked, lean only eaten",0
"watercress leaves","watercress, raw",0.5
"mushroom and onions","sausage and rice with mushroom sauce",0.471404520791032
"salferino","lamb chop, ns as to cut, cooked, lean only eaten",0
"squid tentacles","squid, pickled",0.5
"pumpkin sage gravy","muffin, pumpkin",0.408248290463863
"raw sugar","sugar substitute and sugar blend",0.534522483824849
"barbecue rub","barbecue sauce",0.5
"spanish rose wine","wine, table, rose",0.666666666666667
"merguez sausage","pickled sausage",0.5
"rosso bruno tomatoes","tomatoes, scalloped",0.408248290463863
"apricot halves","apricot nectar",0.5
"amaretti cookies","cookies, puerto rican style",0.353553390593274
"light rum","rum",0.707106781186547
"golden yellow cake mix","cake, fruit cake, light or dark, holiday type cake",0.387298334620742
"frozen fruit","fruit mixture, frozen",0.816496580927726
"canola or peanut oil","canola oil",0.707106781186547
"cantal cheese","cheese, processed cheese food",0.577350269189626
"stout beer","beer",0.707106781186547
"partridge","lamb chop, ns as to cut, cooked, lean only eaten",0
"red tomatoes","tomatoes, scalloped",0.5
"asian sweet red chili sauce","tomato chili sauce",0.516397779494322
"filo shells","stuffed shells, cheese-filled, no sauce",0.288675134594813
"bonbons","lamb chop, ns as to cut, cooked, lean only eaten",0
"whole grain bread","bread, whole grain white",0.866025403784439
"orange and black food color paste","black beans and rice, from fast food / restaurant",0.433012701892219
"mexican chili powder","nutritional powder mix (eas whey protein powder)",0.384900179459751
"spanish style tomato sauce","tomato chili sauce",0.577350269189626
"icing","icing, white",0.707106781186547
"all-butter puff pastry","pastry, puff",0.707106781186547
"red chile flakes","sangria, red",0.408248290463863
"soft taco shells","soft taco with fish",0.577350269189626
"aged soy sauce","soy sauce",0.816496580927726
"mint","mint julep",0.707106781186547
"mount gay rum","rum",0.577350269189626
"honey bourbon","honey",0.707106781186547
"whole grain breadcrumbs","muffin, whole grain",0.666666666666667
"deli corned beef","corned beef patty",0.666666666666667
"canchita","lamb chop, ns as to cut, cooked, lean only eaten",0
"calabrian chili paste","guava paste",0.408248290463863
"fatty country ham","ham, prosciutto",0.408248290463863
"chipotle chilies in adobo","adobo, with noodles",0.288675134594813
"wild salmon fillets","salmon, smoked",0.408248290463863
"japanese rice","rice croquette",0.5
"master ganache","lamb chop, ns as to cut, cooked, lean only eaten",0
"moorea pineapple","pineapple, frozen",0.5
"camomile tea","cookie, tea, japanese",0.408248290463863
"country ribs","goat ribs, cooked",0.408248290463863
"nutella","lamb chop, ns as to cut, cooked, lean only eaten",0
"club rolls","pizza rolls",0.5
"saltpeter","lamb chop, ns as to cut, cooked, lean only eaten",0
"piloncillo","lamb chop, ns as to cut, cooked, lean only eaten",0
"peper","lamb chop, ns as to cut, cooked, lean only eaten",0
"matzo farfel","crackers, matzo",0.5
"basil chicken","chicken, chicken roll, roasted",0.577350269189626
"blackpepper","lamb chop, ns as to cut, cooked, lean only eaten",0
"hot pepper sauces","pepper, hot, pickled",0.666666666666667
"thai soy sauce","soy sauce",0.816496580927726
"round italian bread","bread, italian, grecian, armenian",0.577350269189626
"plum tomatoes in juice","fruit juice blend, 100% juice",0.377964473009227
"pepperoni","pepperoni, nfs",0.707106781186547
"kumamoto","lamb chop, ns as to cut, cooked, lean only eaten",0
"bread cubes","bread, zucchini",0.5
"the flying biscuit cashew relish","marie biscuit",0.316227766016838
"canned pumpkin pie puree","pie, pumpkin",0.707106781186547
"porcinis","lamb chop, ns as to cut, cooked, lean only eaten",0
"hot pepper paste","pepper, hot, pickled",0.666666666666667
"tomato basil tortilla wraps","tortilla, flour",0.353553390593274
"celebration slaw","broccoli slaw salad",0.408248290463863
"prickly pear cactus puree","cactus, raw",0.353553390593274
"greek peach yogurt","yogurt, greek, with oats",0.577350269189626
"piloncillo cone","frozen yogurt cone, vanilla, waffle cone",0.5
"chile pepper flakes","pepper steak",0.408248290463863
"loaf black bread","bread, black",0.816496580927726
"mahi mahi fillets","lamb chop, ns as to cut, cooked, lean only eaten",0
"rigate","lamb chop, ns as to cut, cooked, lean only eaten",0
"baby red beets","beets, baby food, strained",0.577350269189626
"curry oil","flaxseed oil",0.5
"balsamic vinegar","vinegar",0.707106781186547
"multi-grain bread","bread, whole grain white",0.577350269189626
"toffee bar","cookie, toffee bar",0.816496580927726
"corn cereal flakes","cereal, corn flakes",1
"cheesecake pieces","cheesecake",0.707106781186547
"herbs de provence","salsa, pico de gallo",0.288675134594813
"lobster tails","lobster, canned",0.5
"coffee liqueur","cordial or liqueur, coffee flavored",0.632455532033676
"pickling juice","fruit juice blend, 100% juice",0.534522483824849
"pasta pieces","flavored pasta",0.5
"three onion dip","onion dip, regular",0.666666666666667
"lemon sour","lemon, raw",0.5
"lemon-olive vinaigrette","lemon, raw",0.408248290463863
"salt and pepper blend","stuffed pepper, with rice and meat",0.408248290463863
"del monte® pineapple chunks in 100% juice","pineapple juice, 100%",0.654653670707977
"leek","leek, raw",0.707106781186547
"sushi-grade ahi tuna","sushi roll tuna",0.577350269189626
"striped-bass fillets","sea bass, pickled",0.333333333333333
"orange bourbon butter","butter, nfs",0.408248290463863
"soft or all-purpose flour","cake or pancake made with rice flour and/or dried beans",0.372104203767625
"lemongrass paste","guava paste",0.5
"snickers","snickers bar",0.707106781186547
"jumbo chocolate cupcake","fudge, chocolate, chocolate-coated",0.471404520791032
"grapefruit)","grapefruit, canned",0.707106781186547
"ziti rigate pasta","flavored pasta",0.408248290463863
